"Step","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_3 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_3 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_3 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_4 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_4 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_4 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_2 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_2 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_2 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_1 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_1 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_1 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_0 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_0 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s10_0 - train/loss__MAX"
"0","0.10329391807317734","0.10329391807317734","0.10329391807317734","0.07809335738420486","0.07809335738420486","0.07809335738420486","0.09708463400602341","0.09708463400602341","0.09708463400602341","0.06661606580018997","0.06661606580018997","0.06661606580018997","0.08803432434797287","0.08803432434797287","0.08803432434797287"
"1","0.08739283680915833","0.08739283680915833","0.08739283680915833","0.07840526103973389","0.07840526103973389","0.07840526103973389","0.07093248516321182","0.07093248516321182","0.07093248516321182","0.0776270404458046","0.0776270404458046","0.0776270404458046","0.0779385045170784","0.0779385045170784","0.0779385045170784"
"2","0.06870874762535095","0.06870874762535095","0.06870874762535095","0.055208366364240646","0.055208366364240646","0.055208366364240646","0.07897203415632248","0.07897203415632248","0.07897203415632248","0.05314817652106285","0.05314817652106285","0.05314817652106285","0.07068240642547607","0.07068240642547607","0.07068240642547607"
"3","0.067763552069664","0.067763552069664","0.067763552069664","0.053363773971796036","0.053363773971796036","0.053363773971796036","0.06894455850124359","0.06894455850124359","0.06894455850124359","0.05045550689101219","0.05045550689101219","0.05045550689101219","0.0546923466026783","0.0546923466026783","0.0546923466026783"
"4","0.05762011930346489","0.05762011930346489","0.05762011930346489","0.04785656929016113","0.04785656929016113","0.04785656929016113","0.057188730686903","0.057188730686903","0.057188730686903","0.04722960665822029","0.04722960665822029","0.04722960665822029","0.0510496087372303","0.0510496087372303","0.0510496087372303"
"5","0.05648631602525711","0.05648631602525711","0.05648631602525711","0.047557149082422256","0.047557149082422256","0.047557149082422256","0.05569656193256378","0.05569656193256378","0.05569656193256378","0.045582931488752365","0.045582931488752365","0.045582931488752365","0.048744168132543564","0.048744168132543564","0.048744168132543564"
"6","0.05483151599764824","0.05483151599764824","0.05483151599764824","0.04708167538046837","0.04708167538046837","0.04708167538046837","0.05362653359770775","0.05362653359770775","0.05362653359770775","0.04511598125100136","0.04511598125100136","0.04511598125100136","0.04692113399505615","0.04692113399505615","0.04692113399505615"
"7","0.0560666061937809","0.0560666061937809","0.0560666061937809","0.045297544449567795","0.045297544449567795","0.045297544449567795","0.052042122930288315","0.052042122930288315","0.052042122930288315","0.04489440843462944","0.04489440843462944","0.04489440843462944","0.045362357050180435","0.045362357050180435","0.045362357050180435"
"8","0.052850596606731415","0.052850596606731415","0.052850596606731415","0.045740772038698196","0.045740772038698196","0.045740772038698196","0.05083686485886574","0.05083686485886574","0.05083686485886574","0.044464483857154846","0.044464483857154846","0.044464483857154846","0.044258467853069305","0.044258467853069305","0.044258467853069305"
"9","0.05286687612533569","0.05286687612533569","0.05286687612533569","0.044380053877830505","0.044380053877830505","0.044380053877830505","0.04962877929210663","0.04962877929210663","0.04962877929210663","0.04266654700040817","0.04266654700040817","0.04266654700040817","0.04363318160176277","0.04363318160176277","0.04363318160176277"
