"Step","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss__MIN","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss__MAX","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss__MIN","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss__MAX","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss__MIN","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss__MAX","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss__MIN","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss__MAX","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss__MIN","CostFourierVelModelRGB_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss__MAX"
"0","0.0946039929986","0.0946039929986","0.0946039929986","0.07789397239685059","0.07789397239685059","0.07789397239685059","0.07967758923768997","0.07967758923768997","0.07967758923768997","0.09512415528297424","0.09512415528297424","0.09512415528297424","0.09667802602052689","0.09667802602052689","0.09667802602052689"
"1","0.08144570887088776","0.08144570887088776","0.08144570887088776","0.07926692068576813","0.07926692068576813","0.07926692068576813","0.08052413165569305","0.08052413165569305","0.08052413165569305","0.07752968370914459","0.07752968370914459","0.07752968370914459","0.07481341063976288","0.07481341063976288","0.07481341063976288"
"2","0.07522758841514587","0.07522758841514587","0.07522758841514587","0.06368965655565262","0.06368965655565262","0.06368965655565262","0.05696490779519081","0.05696490779519081","0.05696490779519081","0.07971557229757309","0.07971557229757309","0.07971557229757309","0.07962363213300705","0.07962363213300705","0.07962363213300705"
"3","0.060277558863162994","0.060277558863162994","0.060277558863162994","0.06261206418275833","0.06261206418275833","0.06261206418275833","0.05897225812077522","0.05897225812077522","0.05897225812077522","0.06499034911394119","0.06499034911394119","0.06499034911394119","0.06568645685911179","0.06568645685911179","0.06568645685911179"
"4","0.061821047216653824","0.061821047216653824","0.061821047216653824","0.05696656554937363","0.05696656554937363","0.05696656554937363","0.05638965591788292","0.05638965591788292","0.05638965591788292","0.05951978638768196","0.05951978638768196","0.05951978638768196","0.058367785066366196","0.058367785066366196","0.058367785066366196"
"5","0.05639293044805527","0.05639293044805527","0.05639293044805527","0.05425843223929405","0.05425843223929405","0.05425843223929405","0.05271334946155548","0.05271334946155548","0.05271334946155548","0.055098190903663635","0.055098190903663635","0.055098190903663635","0.05498550832271576","0.05498550832271576","0.05498550832271576"
"6","0.05555851012468338","0.05555851012468338","0.05555851012468338","0.052960626780986786","0.052960626780986786","0.052960626780986786","0.0625792071223259","0.0625792071223259","0.0625792071223259","0.0607287734746933","0.0607287734746933","0.0607287734746933","0.05599287897348404","0.05599287897348404","0.05599287897348404"
"7","0.05479973927140236","0.05479973927140236","0.05479973927140236","0.05184271186590195","0.05184271186590195","0.05184271186590195","0.0566137470304966","0.0566137470304966","0.0566137470304966","0.0552593395113945","0.0552593395113945","0.0552593395113945","0.05091526359319687","0.05091526359319687","0.05091526359319687"
"8","0.054216865450143814","0.054216865450143814","0.054216865450143814","0.05025426670908928","0.05025426670908928","0.05025426670908928","0.05519203841686249","0.05519203841686249","0.05519203841686249","0.054907701909542084","0.054907701909542084","0.054907701909542084","0.05829867348074913","0.05829867348074913","0.05829867348074913"
"9","0.05453712120652199","0.05453712120652199","0.05453712120652199","0.048350922763347626","0.048350922763347626","0.048350922763347626","0.05178236588835716","0.05178236588835716","0.05178236588835716","0.05771363154053688","0.05771363154053688","0.05771363154053688","0.057902052998542786","0.057902052998542786","0.057902052998542786"
