"Step","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_4 - train/loss","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_4 - train/loss__MIN","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_4 - train/loss__MAX","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_3 - train/loss","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_3 - train/loss__MIN","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_3 - train/loss__MAX","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_2 - train/loss","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_2 - train/loss__MIN","CostModel_lr_3e-4_g_99e-1_l2_bal_aug_l2_2 - train/loss__MAX","CostModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_1 - train/loss","CostModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_1 - train/loss__MIN","CostModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_1 - train/loss__MAX","CostModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_0 - train/loss","CostModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_0 - train/loss__MIN","CostModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_0 - train/loss__MAX"
"0","0.0753534734249115","0.0753534734249115","0.0753534734249115","0.09912340342998505","0.09912340342998505","0.09912340342998505","0.09636270999908447","0.09636270999908447","0.09636270999908447","0.10753882676362991","0.10753882676362991","0.10753882676362991","0.08606712520122528","0.08606712520122528","0.08606712520122528"
"1","0.06692124903202057","0.06692124903202057","0.06692124903202057","0.06979017704725266","0.06979017704725266","0.06979017704725266","0.06852483004331589","0.06852483004331589","0.06852483004331589","0.07519010454416275","0.07519010454416275","0.07519010454416275","0.06695546954870224","0.06695546954870224","0.06695546954870224"
"2","0.05754692479968071","0.05754692479968071","0.05754692479968071","0.0658225566148758","0.0658225566148758","0.0658225566148758","0.05767441913485527","0.05767441913485527","0.05767441913485527","0.060656774789094925","0.060656774789094925","0.060656774789094925","0.06458770483732224","0.06458770483732224","0.06458770483732224"
"3","0.04766978695988655","0.04766978695988655","0.04766978695988655","0.05808137357234955","0.05808137357234955","0.05808137357234955","0.05279307812452316","0.05279307812452316","0.05279307812452316","0.057530008256435394","0.057530008256435394","0.057530008256435394","0.053983740508556366","0.053983740508556366","0.053983740508556366"
"4","0.049257032573223114","0.049257032573223114","0.049257032573223114","0.047831229865550995","0.047831229865550995","0.047831229865550995","0.04938077926635742","0.04938077926635742","0.04938077926635742","0.05282285064458847","0.05282285064458847","0.05282285064458847","0.04760318621993065","0.04760318621993065","0.04760318621993065"
"5","0.047294627875089645","0.047294627875089645","0.047294627875089645","0.047741908580064774","0.047741908580064774","0.047741908580064774","0.04699654504656792","0.04699654504656792","0.04699654504656792","0.04731697961688042","0.04731697961688042","0.04731697961688042","0.04765941947698593","0.04765941947698593","0.04765941947698593"
"6","0.04787518456578255","0.04787518456578255","0.04787518456578255","0.0467149019241333","0.0467149019241333","0.0467149019241333","0.04664488509297371","0.04664488509297371","0.04664488509297371","0.04890243336558342","0.04890243336558342","0.04890243336558342","0.047444749623537064","0.047444749623537064","0.047444749623537064"
"7","0.046797920018434525","0.046797920018434525","0.046797920018434525","0.04577912390232086","0.04577912390232086","0.04577912390232086","0.04767096787691116","0.04767096787691116","0.04767096787691116","0.04777956008911133","0.04777956008911133","0.04777956008911133","0.04704342037439346","0.04704342037439346","0.04704342037439346"
"8","0.04652196168899536","0.04652196168899536","0.04652196168899536","0.04510151222348213","0.04510151222348213","0.04510151222348213","0.04616086184978485","0.04616086184978485","0.04616086184978485","0.0455191396176815","0.0455191396176815","0.0455191396176815","0.04570061340928078","0.04570061340928078","0.04570061340928078"
"9","0.050442155450582504","0.050442155450582504","0.050442155450582504","0.04568269103765488","0.04568269103765488","0.04568269103765488","0.045795075595378876","0.045795075595378876","0.045795075595378876","0.046491581946611404","0.046491581946611404","0.046491581946611404","0.045328907668590546","0.045328907668590546","0.045328907668590546"
