"Step","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss__MIN","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_4 - train/loss__MAX","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss__MIN","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_3 - train/loss__MAX","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss__MIN","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_2 - train/loss__MAX","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss__MIN","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_1 - train/loss__MAX","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss__MIN","CostVelModel_lr_3e-4_g_99e-1_bal_aug_l2_scale_10.0_0 - train/loss__MAX"
"0","0.10016872733831406","0.10016872733831406","0.10016872733831406","0.09592456370592117","0.09592456370592117","0.09592456370592117","0.083198681473732","0.083198681473732","0.083198681473732","0.08114355057477951","0.08114355057477951","0.08114355057477951","0.09927953034639359","0.09927953034639359","0.09927953034639359"
"1","0.07152111083269119","0.07152111083269119","0.07152111083269119","0.07581637799739838","0.07581637799739838","0.07581637799739838","0.08247066289186478","0.08247066289186478","0.08247066289186478","0.07431919127702713","0.07431919127702713","0.07431919127702713","0.08007808029651642","0.08007808029651642","0.08007808029651642"
"2","0.07304683327674866","0.07304683327674866","0.07304683327674866","0.08748921006917953","0.08748921006917953","0.08748921006917953","0.0744260624051094","0.0744260624051094","0.0744260624051094","0.07291398197412491","0.07291398197412491","0.07291398197412491","0.07761187851428986","0.07761187851428986","0.07761187851428986"
"3","0.07345438003540039","0.07345438003540039","0.07345438003540039","0.06501685827970505","0.06501685827970505","0.06501685827970505","0.06700322777032852","0.06700322777032852","0.06700322777032852","0.05420512706041336","0.05420512706041336","0.05420512706041336","0.0657462552189827","0.0657462552189827","0.0657462552189827"
"4","0.06465639919042587","0.06465639919042587","0.06465639919042587","0.0591665543615818","0.0591665543615818","0.0591665543615818","0.0641571432352066","0.0641571432352066","0.0641571432352066","0.05341573804616928","0.05341573804616928","0.05341573804616928","0.06155943498015404","0.06155943498015404","0.06155943498015404"
"5","0.05886758491396904","0.05886758491396904","0.05886758491396904","0.05537360534071922","0.05537360534071922","0.05537360534071922","0.058926522731781006","0.058926522731781006","0.058926522731781006","0.05043986067175865","0.05043986067175865","0.05043986067175865","0.05958053097128868","0.05958053097128868","0.05958053097128868"
"6","0.05224628001451492","0.05224628001451492","0.05224628001451492","0.0534011609852314","0.0534011609852314","0.0534011609852314","0.055341143161058426","0.055341143161058426","0.055341143161058426","0.05004597827792168","0.05004597827792168","0.05004597827792168","0.058627236634492874","0.058627236634492874","0.058627236634492874"
"7","0.053180813789367676","0.053180813789367676","0.053180813789367676","0.05112891644239426","0.05112891644239426","0.05112891644239426","0.05325387790799141","0.05325387790799141","0.05325387790799141","0.04919438064098358","0.04919438064098358","0.04919438064098358","0.05560031160712242","0.05560031160712242","0.05560031160712242"
"8","0.049529481679201126","0.049529481679201126","0.049529481679201126","0.04993162304162979","0.04993162304162979","0.04993162304162979","0.05080866813659668","0.05080866813659668","0.05080866813659668","0.04837862402200699","0.04837862402200699","0.04837862402200699","0.05541430413722992","0.05541430413722992","0.05541430413722992"
"9","0.04838710278272629","0.04838710278272629","0.04838710278272629","0.048715971410274506","0.048715971410274506","0.048715971410274506","0.049779012799263","0.049779012799263","0.049779012799263","0.047228552401065826","0.047228552401065826","0.047228552401065826","0.058649785816669464","0.058649785816669464","0.058649785816669464"
"10","0.04777664318680763","0.04777664318680763","0.04777664318680763","0.04870998486876488","0.04870998486876488","0.04870998486876488","0.04897620901465416","0.04897620901465416","0.04897620901465416","0.046703290194272995","0.046703290194272995","0.046703290194272995","0.051403019577264786","0.051403019577264786","0.051403019577264786"
"11","0.04687243327498436","0.04687243327498436","0.04687243327498436","0.0477290041744709","0.0477290041744709","0.0477290041744709","0.047255996614694595","0.047255996614694595","0.047255996614694595","0.04583793133497238","0.04583793133497238","0.04583793133497238","0.05127318203449249","0.05127318203449249","0.05127318203449249"
"12","0.046665776520967484","0.046665776520967484","0.046665776520967484","0.046568647027015686","0.046568647027015686","0.046568647027015686","0.04645276069641113","0.04645276069641113","0.04645276069641113","0.0446910485625267","0.0446910485625267","0.0446910485625267","0.049340106546878815","0.049340106546878815","0.049340106546878815"
"13","0.04567785933613777","0.04567785933613777","0.04567785933613777","0.045801229774951935","0.045801229774951935","0.045801229774951935","0.046644970774650574","0.046644970774650574","0.046644970774650574","0.043930474668741226","0.043930474668741226","0.043930474668741226","0.04900306835770607","0.04900306835770607","0.04900306835770607"
"14","0.04477614909410477","0.04477614909410477","0.04477614909410477","0.04501936957240105","0.04501936957240105","0.04501936957240105","0.04548408463597298","0.04548408463597298","0.04548408463597298","0.043114662170410156","0.043114662170410156","0.043114662170410156","0.04771216958761215","0.04771216958761215","0.04771216958761215"
"15","0.04551480710506439","0.04551480710506439","0.04551480710506439","0.04420052468776703","0.04420052468776703","0.04420052468776703","0.044661398977041245","0.044661398977041245","0.044661398977041245","0.04337473586201668","0.04337473586201668","0.04337473586201668","0.04617617279291153","0.04617617279291153","0.04617617279291153"
"16","0.04376978427171707","0.04376978427171707","0.04376978427171707","0.04317812621593475","0.04317812621593475","0.04317812621593475","0.04358634725213051","0.04358634725213051","0.04358634725213051","0.04342088848352432","0.04342088848352432","0.04342088848352432","0.04545661434531212","0.04545661434531212","0.04545661434531212"
"17","0.044853199273347855","0.044853199273347855","0.044853199273347855","0.04245653375983238","0.04245653375983238","0.04245653375983238","0.042416106909513474","0.042416106909513474","0.042416106909513474","0.0433739498257637","0.0433739498257637","0.0433739498257637","0.04420088976621628","0.04420088976621628","0.04420088976621628"
"18","0.0451943464577198","0.0451943464577198","0.0451943464577198","0.04232161119580269","0.04232161119580269","0.04232161119580269","0.04236278310418129","0.04236278310418129","0.04236278310418129","0.04318490996956825","0.04318490996956825","0.04318490996956825","0.043206505477428436","0.043206505477428436","0.043206505477428436"
